s,w,prezzo,metri.quadrati,numero.bagni,ascensore,numero.stanze,altre.caratteristiche,numero.totale.piani.edificio,parcheggio,disponibile,spese.condominiali,anno.di. Costruzione,condizioni,zona,piano,riscaldamento.centralizzato,classe.di.efficienza.energetica
0,1,670000,155,2,sì,4,fibra ottica | sistema d'allarme | porta di sicurezza | esposizione interna | terrazza | terrazza |portinaio mezza giornata | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / legno,8,no,disponibile,545,1972,buone condizioni /vivibile,san siro,1,centralizzato,f
0,1,505000,101,2,sì,3,cancello elettrico | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | esposizione interna | terrazza | sistema televisivo centralizzato | cantina | giardino condiviso | infissi in vetro/ pvc,7,1 in garage/box,disponibile,NA,2025,nuovo / in costruzione,quartiere forlanini,6,indipendente,a
0,1,649000,79,2,sì,3,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | esposizione esterna | guardaroba |portinaio tutto il giorno | sistema televisivo centralizzato | parzialmente arredato| cantina | giardino condiviso |infissi esterni in doppio vetro / pvc,6,1 in parcheggio condiviso,disponibile,350,1930,eccellente / restaurato,corso genova,3,centralizzato,e
0,1,339000,70,1,sì,2,porta di sicurezza | esposizione interna | terrazza | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / pvc,4,no,disponibile,200,2000,eccellente / restaurato,cascina dei pomi,2,centralizzato,f
0,1,549000,85,1,sì,3,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | guardaroba | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato |arredato| cantina |infissi esterni in doppio vetro / pvc | doppia esposizione,6,no,disponibile dal 01/01/2025,170,1960,eccellente / restaurato,sempione,3,centralizzato,f
0,1,390000,120,2,sì,4,cancello elettrico | fibra ottica | porta di sicurezza | guardaroba | terrazza | terrazza | impianto televisivo unico | parzialmente arredato| cantina | giardino condiviso | doppia esposizione,4,1 in garage/box,disponibile,200,1969,eccellente / restaurato,bruzzano,2,centralizzato,e
0,1,413000,90,1,sì,3,porta di sicurezza | terrazza | cantina,7,no,disponibile,nessun costo condominiale,NA,nuovo / in costruzione,san siro,5,centralizzato,g
0,1,215000,60,1,sì,2,porta di sicurezza | terrazza | sistema televisivo centralizzato |arredato| cantina | doppia esposizione,5,no,disponibile,125,1960,buone condizioni /vivibile,prato centenaro,2,centralizzato,g
0,1,142000,30,1,sì,1,attico | porta di sicurezza | esposizione interna | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato |arredato|infissi esterni in doppio vetro / metallo,7,no,NA,100,1960,buone condizioni /vivibile,tre castelli - faenza,5,centralizzato,f
0,1,430000,90,1,no,3,fibra ottica | videocitofono | porta di sicurezza | esposizione esterna | terrazza | sistema televisivo centralizzato | cantina | giardino condiviso | infissi in vetro/ legno,5,1 in parcheggio condiviso,disponibile,166,1930,buone condizioni /vivibile,casoretto,3,centralizzato,f
0,1,214000,64,1,sì,2,fibra ottica | videocitofono | porta di sicurezza | terrazza |portinaio tutto il giorno,6,no,NA,208,1960,buone condizioni /vivibile,argonne - corsica,3,centralizzato,g
0,1,665000,110,1,sì,3,terrazza |portinaio tutto il giorno | cantina | giardino condiviso,5,no,disponibile,300,1910,eccellente / restaurato,centrale,1,centralizzato,g
0,1,249000,70,1,no,3,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | esposizione interna | guardaroba |portinaio mezza giornata | sistema televisivo centralizzato |infissi esterni in doppio vetro / pvc,5,no,disponibile,80,2024,eccellente / restaurato,martini - insubria,piano terra,centralizzato,f
0,1,198000,40,1,sì,2,fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | esposizione interna | guardaroba |portinaio mezza giornata | sistema televisivo centralizzato |arredato| giardino condiviso | window frames in triple glass / pvc,8,no,disponibile,150,1960,nuovo / in costruzione,lorenteggio,seminterrato,centralizzato,a
0,1,230000,60,1,sì,2,cancello elettrico | fibra ottica | porta di sicurezza | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / metallo | doppia esposizione,8,1 in garage/box,disponibile,166,1958,buone condizioni /vivibile,primaticcio,1,centralizzato,f
0,1,250000,85,1,sì,2,cancello elettrico | fibra ottica | porta di sicurezza | guardaroba | terrazza |portinaio mezza giornata | sistema televisivo centralizzato | cantina | giardino condiviso | infissi in vetro/ metallo | doppia esposizione,6,no,disponibile,250,1960,buone condizioni /vivibile,crescenzago,1,centralizzato,g
0,1,570000,60,1,sì,2,fibra ottica | videocitofono | porta di sicurezza | esposizione interna | terrazza | sistema televisivo centralizzato |arredato| cantina |infissi esterni in doppio vetro / legno,2,no,disponibile,125,2007,eccellente / restaurato,navigli - darsena,2,indipendente,e
0,1,1100000,200,2,sì,4,cancello elettrico | porta di sicurezza | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / pvc | doppia esposizione,8,"1 in garage/box, 1 in parcheggio condiviso",disponibile,400,1960,eccellente / restaurato,bicocca,8,centralizzato,f
0,1,225000,50,1,sì,2,sistema televisivo centralizzato | doppia esposizione,5,no,disponibile,60,1940,buone condizioni /vivibile,farini,4,indipendente,NA
0,1,227000,60,1,sì,2,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | esposizione interna | terrazza | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / metallo,10,no,disponibile,NA,2023,NA,vialba,1,centralizzato,a
0,1,336000,80,1,sì,3,porta di sicurezza | terrazza | cantina,5,no,disponibile,nessun costo condominiale,NA,nuovo / in costruzione,parco trotter,1,centralizzato,g
0,1,279000,65,1,no,2,cancello elettrico | fibra ottica | sistema d'allarme | porta di sicurezza | esposizione interna | guardaroba | impianto tv con parabola satellitare |arredato|infissi esterni in doppio vetro / metallo,3,no,disponibile,50,1940,buone condizioni /vivibile,gorla,3,indipendente,g
0,1,210000,50,1,sì,2,cancello elettrico | attico | fibra ottica | videocitofono | porta di sicurezza | esposizione esterna | guardaroba | terrazza |portinaio mezza giornata | impianto televisivo unico |arredato|infissi esterni in doppio vetro / pvc,6,1 in garage/box,disponibile,NA,1965,buone condizioni /vivibile,turro,4,centralizzato,NA
0,1,199000,69,1,sì,2,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | guardaroba | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | parzialmente arredato| cantina | giardino condiviso |infissi esterni in doppio vetro / pvc | doppia esposizione,9,no,disponibile,NA,NA,buone condizioni /vivibile,giambellino,8,centralizzato,g
0,1,199000,50,1,no,2,sistema televisivo centralizzato | cantina |infissi esterni in doppio vetro / pvc | doppia esposizione,3,no,disponibile,NA,1920,nuovo / in costruzione,turro,piano terra,indipendente,g
0,1,1650000,170,2,sì,5,cancello elettrico | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | terrazza | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato |arredato| cantina | giardino condiviso |infissi esterni in doppio vetro / pvc | doppia esposizione,6,1 in garage/box,disponibile,700,2011,nuovo / in costruzione,paolo sarpi,4,centralizzato,a
0,1,1070000,115,2,sì,3,porta di sicurezza | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato |arredato| cantina | giardino condiviso |infissi esterni in doppio vetro / pvc | doppia esposizione,7,no,disponibile,325,1960,eccellente / restaurato,corso genova,2,centralizzato,e
0,1,210000,50,1,NA,2,"terrazza |arredato| giardino condiviso | infissi in vetro/ legno | exposure south, west",3,no,NA,75,1930,buone condizioni /vivibile,precotto,2,indipendente,f
0,1,145000,14,1,sì,1,fibra ottica | videocitofono | esposizione esterna |portinaio tutto il giorno | sistema televisivo centralizzato |arredato| giardino condiviso |infissi esterni in doppio vetro / legno,5,no,NA,41,1929,eccellente / restaurato,citt√† studi,5,centralizzato,g
0,1,265000,67,1,sì,2,fibra ottica | videocitofono | porta di sicurezza | esposizione interna | terrazza | terrazza | sistema televisivo centralizzato |infissi esterni in doppio vetro / pvc,1 piano,no,disponibile,70,2023,nuovo / in costruzione,certosa,1,indipendente,a
0,1,230000,80,1,sì,3,cancello elettrico | fibra ottica | porta di sicurezza | esposizione interna | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / pvc,6,no,disponibile,192,1965,buone condizioni /vivibile,viale ungheria - mecenate,1,centralizzato,e
0,1,430000,69,1,no,2,fibra ottica | porta di sicurezza | sistema televisivo centralizzato | cantina |infissi esterni in doppio vetro / pvc | doppia esposizione,5,no,disponibile,120,1928,eccellente / restaurato,porta romana - medaglie d'oro,3,indipendente,f
0,1,195000,22,1,sì,1,idromassaggio| fibra ottica | porta di sicurezza | esposizione interna | guardaroba |portinaio mezza giornata | impianto televisivo unico |arredato|infissi esterni in doppio vetro / legno,4,no,disponibile,90,2016,buone condizioni /vivibile,citt√† studi,soppalco,centralizzato,f
0,1,940000,110,2,sì,3,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza |portinaio tutto il giorno | sistema televisivo centralizzato | parzialmente arredato| cantina | giardino condiviso | infissi in vetro/ pvc | doppia esposizione,4,no,NA,600,1920,eccellente / restaurato,sant'ambrogio,1,centralizzato,d
0,1,263000,105,2,sì,4,cancello elettrico | porta di sicurezza | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / legno | doppia esposizione,8,1 in garage/box,NA,166,1980,buone condizioni /vivibile,vialba,4,centralizzato,f
0,1,395000,135,2,sì,4,campo da tennis | cancello elettrico | fibra ottica | porta di sicurezza | esposizione esterna | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina | giardino condiviso | infissi in vetro/ legno,7,1 in garage/box,NA,280,1970,buone condizioni /vivibile,baggio,7,centralizzato,g
0,1,279000,75,1,sì,2,fibra ottica | porta di sicurezza | esposizione interna | terrazza | sistema televisivo centralizzato | parzialmente arredato| cantina | giardino condiviso |infissi esterni in doppio vetro / pvc,7,1 in parcheggio condiviso,disponibile,192,1965,eccellente / restaurato,bovisa,3,centralizzato,f
0,1,590000,85,1,sì,3,esposizione interna | guardaroba |giardino privato,5,no,disponibile,NA,1940,eccellente / restaurato,solari,piano terra,indipendente,f
0,1,329000,73,1,sì,2,cancello elettrico | fibra ottica | porta di sicurezza | esposizione esterna | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | parzialmente arredato| cantina | giardino condiviso |infissi esterni in doppio vetro / legno,8,1 in parcheggio condiviso,disponibile,170,1967,eccellente / restaurato,monte stella,4,centralizzato,c
0,1,795000,160,3+,sì,5,cancello elettrico | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | guardaroba | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato |arredato| cantina | giardino condiviso |infissi esterni in doppio vetro / pvc | doppia esposizione,7,no,disponibile,330,1970,eccellente / restaurato,cascina dei pomi,1,centralizzato,e
0,1,249000,60,2,sì,2,caminetto | fibra ottica | videocitofono | porta di sicurezza | guardaroba | sistema televisivo centralizzato | parzialmente arredato| infissi in vetro/ metallo | doppia esposizione,4,no,disponibile,100,1930,eccellente / restaurato,gorla,piano terra,indipendente,d
0,1,798000,140,1,sì,3,"cucina | terrazza |arredato|infissi esterni in doppio vetro / pvcexposure south, east, west",4,1 in parcheggio condiviso,disponibile,NA,1960,eccellente / restaurato,maggiolina,4,centralizzato,e
0,1,360000,41,1,sì,2,cancello elettrico | fibra ottica | porta di sicurezza | esposizione esterna | terrazza |portinaio mezza giornata | sistema televisivo centralizzato | only cucinaarredato| giardino condiviso | window frames in triple glass / pvc,4,no,disponibile,80,1930,eccellente / restaurato,indipendenza,2,indipendente,c
0,1,1500000,115,1,sì,3,fibra ottica | porta di sicurezza | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | parzialmente arredato| cantina | infissi in vetro/ legno | doppia esposizione,7,no,disponibile,258,1950,eccellente / restaurato,brera,6,centralizzato,f
0,1,268000,51,1,sì,2,porta di sicurezza | terrazza |portinaio tutto il giorno |arredato| cantina | giardino condiviso |infissi esterni in doppio vetro / pvc,9,no,NA,150,1960,buone condizioni /vivibile,prato centenaro,9,centralizzato,g
0,1,135000,52,NA,sì,2,fibra ottica | porta di sicurezza | terrazza | impianto televisivo unico | doppia esposizione,4,no,disponibile,192,1960,buone condizioni /vivibile,baggio,4,centralizzato,g
0,1,910000,169,2,sì,4,esposizione esterna | terrazza | cantina | infissi in vetro/ pvc,4,1 in garage/box,disponibile,nessun costo condominiale,NA,da restaurare,maggiolina,2,centralizzato,f
0,1,550000,65,1,sì,2,terrazza | giardino condiviso |infissi esterni in doppio vetro / legno,4,no,disponibile,167,1900,buone condizioni /vivibile,porta romana - medaglie d'oro,2,indipendente,g
0,1,640000,125,2,sì,3,cancello elettrico | fibra ottica | sistema d'allarme | porta di sicurezza | guardaroba | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / legno | doppia esposizione,4,1 in garage/box,disponibile,333,1974,buone condizioni /vivibile,casoretto,1,centralizzato,g
0,1,880000,131,3,sì,4,fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | esposizione esterna | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / pvc,3,no,disponibile,NA,1968,eccellente / restaurato,maggiolina,3,centralizzato,e
0,1,435000,100,1,sì,3,cancello elettrico | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | guardaroba | terrazza | sistema televisivo centralizzato | cantina | giardino condiviso | infissi in vetro/ metallo | doppia esposizione,4,no,NA,270,1950,da restaurare,centrale,1,centralizzato,e
0,1,499000,65,1,sì,2,terrazza | only cucinaarredato| doppia esposizione,5,no,NA,170,2010,eccellente / restaurato,bocconi,2,indipendente,d
0,1,480000,110,1,sì,3,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | terrazza | impianto televisivo unico | cantina |infissi esterni in doppio vetro / legno | doppia esposizione,8,no,NA,200,1960,buone condizioni /vivibile,de angeli,8,indipendente,f
0,1,675000,100,2,sì,3,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | guardaroba | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato |arredato| cantina | giardino condiviso | window frames in triple glass / pvc,5,no,disponibile,250,1950,eccellente / restaurato,dezza,soppalco,NA,a
0,1,239000,82,1,sì,3,fibra ottica | porta di sicurezza | terrazza |portinaio tutto il giorno | impianto televisivo unico | cantina | giardino condiviso |infissi esterni in doppio vetro / pvc | doppia esposizione,4,no,disponibile,233,1957,buone condizioni /vivibile,comasina,1,centralizzato,g
0,1,310000,50,1,no,2,fibra ottica | porta di sicurezza | esposizione interna |portinaio tutto il giorno | sistema televisivo centralizzato | cantina |infissi esterni in doppio vetro / pvc,3,no,disponibile,100,1930,eccellente / restaurato,citt√† studi,soppalco,centralizzato,NA
0,1,520000,115,2,sì,4,cancello elettrico | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | guardaroba | terrazza |portinaio mezza giornata | sistema televisivo centralizzato | parzialmente arredato| cantina | giardino condiviso |infissi esterni in doppio vetro / pvc | doppia esposizione,8,no,disponibile,250,1970,eccellente / restaurato,certosa,1,centralizzato,f
0,1,144000,50,1,no,2,fibra ottica | esposizione esterna | terrazza | sistema televisivo centralizzato | infissi in vetro/ legno,4,no,NA,167,1960,buone condizioni /vivibile,san carlo,3,centralizzato,g
0,1,275000,84,1,sì,2,taverna |portinaio tutto il giorno | window frames in triple glass / pvc,4,1 in parcheggio condiviso,disponibile,125,1966,eccellente / restaurato,istria,piano terra,centralizzato,f
0,1,520000,81,1,sì,3,fibra ottica | porta di sicurezza | terrazza | terrazza |portinaio mezza giornata | impianto televisivo unico | cantina | infissi in vetro/ legno | doppia esposizione,5,no,disponibile,183,1940,buone condizioni /vivibile,paolo sarpi,3,centralizzato,f
0,1,945000,118,2,sì,3,porta di sicurezza | esposizione interna | guardaroba | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina |infissi esterni in doppio vetro / pvc,7,no,disponibile,NA,1930,nuovo / in costruzione,missori,3,centralizzato,NA
0,1,260000,91,1,no,3,fibra ottica | porta di sicurezza | terrazza | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / legno | doppia esposizione,3,1 in garage/box,disponibile,200,1960,buone condizioni /vivibile,bovisa,1,centralizzato,f
0,1,280000,42,1,sì,1,"reception | sistema d'allarme | terrazza | cantina | giardino condiviso | window frames in triple glass / pvcexposure south, west",7,no,disponibile,80,2023,nuovo / in costruzione,bovisa,1,indipendente,a
0,1,310000,85,1,no,2,idromassaggio| porta di sicurezza | parzialmente arredato| giardino condiviso | window frames in triple glass / pvc,3,no,NA,100,NA,eccellente / restaurato,turro,3,indipendente,g
0,1,760000,134,2,sì,3,porta di sicurezza | terrazza |portinaio tutto il giorno | parzialmente arredato| cantina | giardino condiviso |infissi esterni in doppio vetro / legno,8,no,disponibile,333,1930,da restaurare,citt√† studi,7,centralizzato,g
0,1,925000,90,1,sì,3,cancello elettrico | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | esposizione esterna | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / pvc,6,no,disponibile,NA,2025,nuovo / in costruzione,arena,3,indipendente,a
0,1,235000,65,1,sì,2,fibra ottica | porta di sicurezza | esposizione interna | guardaroba | terrazza |portinaio mezza giornata | sistema televisivo centralizzato | giardino condiviso |infissi esterni in doppio vetro / pvc,8,no,disponibile,142,1965,buone condizioni /vivibile,cimiano,8,centralizzato,g
0,1,510000,50,1,no,1,porta di sicurezza | esposizione interna | sistema televisivo centralizzato | only cucinaarredato| infissi in vetro/ legno,3,no,disponibile,100,1930,buone condizioni /vivibile,moscova,2,indipendente,g
0,1,200000,45,1,no,2,cancello elettrico | videocitofono | porta di sicurezza | esposizione esterna | sistema televisivo centralizzato | giardino condiviso |infissi esterni in doppio vetro / pvc,2,no,disponibile,NA,1952,eccellente / restaurato,vigentino - fatima,piano terra,indipendente,c
0,1,350000,93,2,sì,3,videocitofono | sistema d'allarme | porta di sicurezza | terrazza | terrazza | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / legno | doppia esposizione,7,1 in garage/box,disponibile,150,2012,eccellente / restaurato,bruzzano,2,centralizzato,b
0,1,840000,207,3+,no,5+,cancello elettrico | taverna | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | terrazza | terrazza | impianto televisivo unico | parzialmente arredato| cantina |giardino privato |infissi esterni in doppio vetro / pvc | doppia esposizione,4,no,disponibile,100,2005,buone condizioni /vivibile,ripamonti,piano terra,indipendente,g
0,1,280000,175,2,no,5+,porta di sicurezza | esposizione interna | guardaroba | sistema televisivo centralizzato | giardino condiviso |infissi esterni in doppio vetro / pvc,3,no,disponibile,290,1970,buone condizioni /vivibile,precotto,seminterrato,centralizzato,NA
0,1,325000,110,1,sì,3,cancello elettrico | fibra ottica | sistema d'allarme | porta di sicurezza | terrazza | sistema televisivo centralizzato | doppia esposizione,6,no,NA,150,1990,buone condizioni /vivibile,san siro,1,centralizzato,f
0,1,1100000,126,1,sì,3,fibra ottica | sistema d'allarme | porta di sicurezza | esposizione esterna |portinaio tutto il giorno | sistema televisivo centralizzato | cantina |infissi esterni in doppio vetro / pvc,7,no,disponibile,200,1945,buone condizioni /vivibile,piave - tricolore,soppalco,centralizzato,NA
0,1,325000,52,1,sì,2,fibra ottica | videocitofono | porta di sicurezza | esposizione interna | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato |arredato| cantina | giardino condiviso |infissi esterni in doppio vetro / pvc,8,no,disponibile,150,1960,eccellente / restaurato,martini - insubria,4,centralizzato,d
0,1,180000,45,1,sì,2,cancello elettrico | fibra ottica | porta di sicurezza | esposizione esterna | impianto televisivo unico | parzialmente arredato|infissi esterni in doppio vetro / pvc,4,no,disponibile,80,1920,buone condizioni /vivibile,certosa,soppalco,indipendente,NA
0,1,689000,102,2,sì,3,cancello elettrico | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | guardaroba | terrazza | terrazza | sistema televisivo centralizzato |arredato| cantina | giardino condiviso |infissi esterni in doppio vetro / legno | doppia esposizione,8,1 in garage/box,disponibile,NA,2025,nuovo / in costruzione,porta vittoria,2,centralizzato,a
0,1,238000,50,1,NA,2,fibra ottica | porta di sicurezza | esposizione interna | impianto televisivo unico |giardino privato |infissi esterni in doppio vetro / pvc,1 piano,no,disponibile,nessun costo condominiale,1960,nuovo / in costruzione,bande nere,piano terra,indipendente,NA
0,1,320000,65,1,sì,2,cancello elettrico | taverna | fibra ottica | videocitofono | porta di sicurezza | guardaroba | sistema televisivo centralizzato | parzialmente arredato| giardino condiviso |infissi esterni in doppio vetro / pvc | doppia esposizione,4,no,disponibile,80,1960,eccellente / restaurato,cermenate - abbiategrasso,piano terra,indipendente,g
0,1,320000,35,1,sì,1,cancello elettrico | fibra ottica | porta di sicurezza | esposizione esterna | guardaroba |portinaio mezza giornata | sistema televisivo centralizzato |arredato| cantina |infissi esterni in doppio vetro / metallo,8,no,disponibile dal 30/06/2026,100,1960,eccellente / restaurato,bocconi,3,centralizzato,e
0,1,2590000,270,3+,sì,5,videocitofono | sistema d'allarme | terrazza | impianto televisivo unico | parzialmente arredato| cantina,3,1 in garage/box,disponibile,300,1930,eccellente / restaurato,morgagni,3,indipendente,a
0,1,295000,90,1,sì,2,guardaroba | terrazza | cantina,6,no,disponibile,90,1965,eccellente / restaurato,niguarda,1,NA,e
0,1,265000,61,1,no,2,porta di sicurezza | esposizione interna | impianto televisivo unico | giardino condiviso |infissi esterni in doppio vetro / pvc,6,no,disponibile,100,1960,eccellente / restaurato,martini - insubria,seminterrato,indipendente,e
0,1,690000,97,1,sì,3,cancello elettrico | caminetto | fibra ottica | videocitofono | porta di sicurezza | sistema televisivo centralizzato |giardino privato | infissi in vetro/ legno | doppia esposizione,3,no,disponibile,3,2023,nuovo / in costruzione,cenisio,piano terra,indipendente,a
0,1,255000,71,1,sì,2,cancello elettrico | fibra ottica | porta di sicurezza | esposizione interna |portinaio tutto il giorno | sistema televisivo centralizzato | parzialmente arredato| cantina | giardino condiviso |infissi esterni in doppio vetro / pvc,8,no,disponibile,130,NA,buone condizioni /vivibile,dergano,soppalco,centralizzato,f
0,1,615000,124,1,sì,3,caminetto | porta di sicurezza | terrazza |portinaio tutto il giorno | cantina | giardino condiviso |infissi esterni in doppio vetro / pvc,4,no,disponibile,271,1940,buone condizioni /vivibile,citt√† studi,4,centralizzato,e
0,1,315000,60,1,sì,2,fibra ottica | porta di sicurezza | esposizione esterna | guardaroba |portinaio tutto il giorno | sistema televisivo centralizzato | parzialmente arredato| cantina |infissi esterni in doppio vetro / pvc,4,no,disponibile,150,1960,eccellente / restaurato,ghisolfa - mac mahon,soppalco,centralizzato,e
0,1,450000,80,1,sì,3,fibra ottica | porta di sicurezza | terrazza |portinaio mezza giornata | sistema televisivo centralizzato | cantina |infissi esterni in doppio vetro / pvc | doppia esposizione,5,no,disponibile,208,1960,buone condizioni /vivibile,argonne - corsica,3,centralizzato,f
0,1,345000,100,1,sì,3,fibra ottica | porta di sicurezza | guardaroba | terrazza | sistema televisivo centralizzato | parzialmente arredato| infissi in vetro/ pvc | doppia esposizione,6,no,disponibile,200,NA,eccellente / restaurato,cantalupa - san paolo,5,indipendente,g
0,1,155000,48,1,sì,2,porta di sicurezza | terrazza | sistema televisivo centralizzato | cantina |infissi esterni in doppio vetro / metallo | doppia esposizione,4,no,disponibile,118,1960,da restaurare,bisceglie,3,centralizzato,g
0,1,295000,129,2,sì,4,cancello elettrico | fibra ottica | porta di sicurezza | guardaroba | terrazza | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina | giardino condiviso | infissi in vetro/ legno | doppia esposizione,6,1 in garage/box,NA,292,1965,da restaurare,baggio,1,centralizzato,f
0,1,620000,88,1,NA,3,porta di sicurezza | guardaroba |portinaio tutto il giorno | sistema televisivo centralizzato | cantina |infissi esterni in doppio vetro / pvc,5,no,disponibile,250,NA,buone condizioni /vivibile,ticinese,1,centralizzato,g
0,1,990000,170,2,sì,4,cancello elettrico | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | guardaroba | terrazza | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / legno | doppia esposizione,8,"1 in garage/box, 1 in parcheggio condiviso",NA,433,1970,eccellente / restaurato,solari,6,centralizzato,e
0,1,290000,100,1,no,3,porta di sicurezza | terrazza | giardino condiviso |infissi esterni in doppio vetro / pvc,6,no,NA,166,NA,buone condizioni /vivibile,cimiano,piano terra,centralizzato,g
0,1,775000,140,2,sì,4,cancello elettrico | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | guardaroba | terrazza | sistema televisivo centralizzato | cantina |infissi esterni in doppio vetro / legno | doppia esposizione,4,no,disponibile,290,1925,eccellente / restaurato,buenos aires,3,centralizzato,g
0,1,760000,140,2,sì,3,cancello elettrico | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina | giardino condiviso | window frames in triple glass / pvc | doppia esposizione,5,1 in garage/box,disponibile,nessun costo condominiale,2023,nuovo / in costruzione,gorla,5,centralizzato,a
0,1,245000,76,1,no,3,porta di sicurezza | esposizione esterna | terrazza | sistema televisivo centralizzato | cantina | infissi in vetro/ legno,4,no,NA,160,1930,da restaurare,rovereto,2,indipendente,g
0,1,515000,75,1,sì,2,porta di sicurezza | terrazza | cantina,8,no,disponibile,nessun costo condominiale,NA,nuovo / in costruzione,citt√† studi,5,centralizzato,g
0,1,475000,97,2,sì,3,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | esposizione esterna | terrazza | terrazza |portinaio mezza giornata | sistema televisivo centralizzato | cantina |infissi esterni in doppio vetro / pvc,8,no,disponibile,NA,2023,nuovo / in costruzione,bisceglie,6,indipendente,b
0,1,750000,120,1,sì,4,"cucina | terrazza | cantina |infissi esterni in doppio vetro / metallo | exposure east, west",4,no,NA,150,1925,buone condizioni /vivibile,paolo sarpi,3,indipendente,f
0,1,395000,104,2,sì,4,porta di sicurezza | terrazza | sistema televisivo centralizzato | cantina | giardino condiviso | infissi in vetro/ legno | doppia esposizione,4,no,disponibile,NA,1960,da restaurare,quartiere feltre,soppalco,centralizzato,f
0,1,175000,48,1,no,2,arredato | doppia esposizione,4,no,disponibile,70,NA,eccellente / restaurato,bisceglie,seminterrato,indipendente,b
0,1,508000,119,2,sì,4,cancello elettrico | videocitofono | sistema d'allarme | porta di sicurezza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina |giardino privato |infissi esterni in doppio vetro / pvc | doppia esposizione,7,no,disponibile,nessun costo condominiale,2025,nuovo / in costruzione,giambellino,piano terra,indipendente,a
0,1,330000,60,1,sì,2,videocitofono | porta di sicurezza | esposizione esterna | arredato,4,no,NA,125,1930,buone condizioni /vivibile,farini,soppalco,centralizzato,g
0,1,1897500,275,3+,sì,5+,fibra ottica | sistema d'allarme | porta di sicurezza | guardaroba | terrazza |portinaio mezza giornata | sistema televisivo centralizzato | parzialmente arredato| cantina | giardino condiviso |infissi esterni in doppio vetro / legno | doppia esposizione,6,"1 in garage/box, 1 in parcheggio condiviso",disponibile,550,1936,eccellente / restaurato,san vittore,2,centralizzato,e
0,1,595000,91,2,no,2,fibra ottica | porta di sicurezza | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / legno | doppia esposizione,4,no,NA,166,1890,buone condizioni /vivibile,corso genova,1,indipendente,g
